Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	cmy04512:ECM-receptor interaction	15	0.8971291866028708	2.656050212954887E-4	XP_007055096, XP_007068839, XP_007055095, EMP35428, XP_007058600, XP_007068349, XP_007069209, XP_007063843, EMP26255, EMP26256, XP_007064393, EMP40317, XP_007060207, XP_007060206, XP_007059671, XP_007067714, XP_007072662, EMP35427	272	89	4992	3.0931923331130204	0.03548228606112713	0.03548228606112713	0.31134927964101555
KEGG_PATHWAY	cmy03460:Fanconi anemia pathway	10	0.5980861244019139	0.0010814068081316766	XP_007059581, XP_007057300, XP_007054991, XP_007055650, XP_007060412, EMP41016, XP_007058672, XP_007054809, XP_007060121, XP_007069443	272	49	4992	3.7454981992797123	0.13683628834750228	0.07093395732461638	1.2621173053653179
KEGG_PATHWAY	cmy03030:DNA replication	8	0.4784688995215311	0.0027569266080290588	XP_007059954, XP_007070572, XP_007063929, XP_007072300, XP_007058285, EMP35614, XP_007054738, XP_007058863	272	36	4992	4.078431372549019	0.3130266740764792	0.1176383486470064	3.188871846023089
KEGG_PATHWAY	cmy04510:Focal adhesion	22	1.3157894736842104	0.0073045268844389236	EMP35428, XP_007058600, XP_007070562, XP_007069209, XP_007063843, XP_007071643, XP_007064393, XP_007059671, XP_007067714, EMP35427, XP_007072662, XP_007055096, XP_007068839, XP_007055095, XP_007070591, EMP26255, EMP26256, EMP30041, EMP40317, XP_007060207, XP_007069632, XP_007060206, XP_007059734, XP_007068957, XP_007058876	272	219	4992	1.8436744560838036	0.6310380060224114	0.22062690701247	8.246311813965534
UP_KEYWORDS	Ligase	5	0.29904306220095694	0.024334303800666816	XP_007065514, XP_007055917, XP_007060915, XP_007059163, XP_007057336	102	21	1852	4.323062558356676	0.8384612773952616	0.8384612773952616	22.728868053390773
GOTERM_MF_DIRECT	GO:0016874~ligase activity	4	0.23923444976076555	0.038680238710951345	XP_007065514, XP_007060915, XP_007059163, XP_007057336	62	15	1176	5.058064516129032	0.9062282121103428	0.9062282121103428	32.65465332002327
UP_KEYWORDS	Metal-binding	11	0.6578947368421052	0.05546206439142998	XP_007065514, XP_007057453, XP_007055541, XP_007058514, XP_007064746, XP_007070088, XP_007054804, XP_007060915, XP_007055006, XP_007055179, XP_007057336	102	105	1852	1.9021475256769376	0.9853365559101013	0.8789072913429604	44.966233734641825
UP_KEYWORDS	Kinase	7	0.41866028708133973	0.060121869083658575	XP_007069714, XP_007069158, XP_007058349, XP_007062221, XP_007061834, XP_007059220, XP_007055179	102	52	1852	2.444193061840121	0.9898306241882662	0.7833469707684577	47.74254606442935
